,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5
0,2,0.00506508563926622,690275.515166188,690306.5328174529,111,179
1,2,0.021451213239340405,686481.1715567429,686512.1892080078,025,102
2,2,0.012222218638016535,688625.9667214248,688656.9843726897,091,016
3,2,0.00032000033290602303,691362.6156021529,691393.6332534178,122,043
4,2,0.007057888763024711,689817.4166190549,689848.4342703198,142,114
5,2,0.016581569145543762,687615.373154265,687646.3908055299,034,057
6,2,0.01304443450636894,688435.7006691456,688466.7183204105,179,062
7,2,0.00032533140718171705,691361.3971491561,691392.414800421,094,182
8,2,0.008760404002811861,689425.319581189,689456.3372324539,129,052
9,2,0.0013788297972113783,691120.4853779593,691151.5030292242,183,178
10,2,0.0028790936093718855,690776.9692040172,690807.9868552821,094,059
11,2,0.014589987982851826,688077.6202288131,688108.637880078,120,047
12,2,0.001251642053460733,691149.5838866581,691180.601537923,010,182
13,2,0.004313519217101325,690448.0443667823,690479.0620180472,128,037
14,2,0.004007607073126973,690518.2321122705,690549.2497635355,121,191
15,2,0.0034331074908725556,690649.985674284,690681.003325549,190,108
16,2,0.006275875474533343,689997.2925823207,690028.3102335857,186,052
17,2,0.00857453590459134,689468.158587802,689499.1762390669,005,143
18,2,0.001756829694191997,691033.9832057874,691065.0008570523,122,192
19,2,0.020289116519276895,686752.3504816771,686783.368132942,056,146
20,2,0.0025337980015998074,690856.0774834269,690887.0951346918,046,187
21,2,0.0070404360242264374,689821.4325823514,689852.4502336163,189,027
22,2,0.0018440116082835134,691014.0276921784,691045.0453434433,065,042
23,2,0.008790275593242525,689418.4340073421,689449.451658607,074,023
24,2,0.001112819042882962,691181.3401278333,691212.3577790982,000,081
25,2,0.0025664373867141377,690848.6008725595,690879.6185238244,004,170
26,2,0.009750693508940422,689196.9414804764,689227.9591317413,066,075
27,2,0.0014925919109384234,691094.4552972311,691125.472948496,137,147
28,2,0.006548860286868741,689934.5176571376,689965.5353084025,031,050
29,2,0.01533226786857167,687905.4459644642,687936.4636157291,075,098
30,2,0.009345578016231149,689290.3957994124,689321.4134506773,082,176
31,2,0.005627231624893092,690146.3840058679,690177.4016571328,059,060
32,2,0.011039659636985832,688899.3409812681,688930.358632533,092,166
33,2,0.005403126964489968,690197.8720771521,690228.889728417,128,031
34,2,0.011706211077821438,688745.2933286476,688776.3109799125,076,097
35,2,0.013681911200976615,688288.075333588,688319.092984853,120,094
36,2,0.002374756675516787,690892.5051263499,690923.5227776148,128,160
37,2,0.023951091494464616,685896.7239272493,685927.7415785142,072,123
38,2,0.0035799903262511146,690616.3073486516,690647.3249999165,085,003
39,2,0.002184654025004007,690936.0395961422,690967.0572474072,013,037
40,2,0.0017356436558889632,691038.8323230834,691069.8499743483,118,174
41,2,0.004859853411420922,690322.6411024919,690353.6587537568,191,019
42,2,0.007672907570473009,689675.8525969887,689706.8702482536,059,075
43,2,0.021980372118241998,686357.583942662,686388.6015939269,006,095
44,2,0.02710709448104698,685156.7391257586,685187.7567770235,033,053
45,2,0.0015680722496763666,691077.1828904689,691108.2005417338,035,169
46,2,0.004922634578717,690308.2261660686,690339.2438173335,132,085
47,2,0.0009770728519397087,691212.3882684552,691243.4059197201,089,087
48,2,0.01148544398077389,688796.3266308627,688827.3442821276,075,186
49,2,0.00016883480202356527,691397.1628001535,691428.1804514184,125,184
50,2,0.00591619489028683,690079.9775325137,690110.9951837786,052,104
51,2,0.0018171625466993913,691020.1734967472,691051.1911480121,018,058
52,2,0.01515392952509742,687946.8239733817,687977.8416246466,062,078
53,2,0.0010875708382295235,691187.1152671564,691218.1329184213,077,108
54,2,0.015944134027235157,687763.423976039,687794.441627304,083,001
55,2,0.015314806312098472,687909.497720506,687940.515371771,150,159
56,2,0.007026053099993157,689824.7421127658,689855.7597640307,189,043
57,2,0.021346880353216857,686505.5311189982,686536.5487702631,025,128
58,2,0.001943407103051964,690991.2744232502,691022.2920745151,106,165
59,2,0.008834213069307872,689408.3057886588,689439.3234399237,122,097
60,2,0.0008167447972520225,691249.0533887227,691280.0710399876,103,137
61,2,0.0010825807426406708,691188.2566576621,691219.274308927,006,077
62,2,0.006642921109336841,689912.8836627592,689943.9013140241,012,011
63,2,0.0006465108100126571,691287.9774388407,691318.9950901056,052,026
64,2,0.005096179731403527,690268.3744152008,690299.3920664657,088,052
65,2,0.02101896841005968,686582.0748441492,686613.0924954141,037,025
66,2,0.002569193171351958,690847.9696016312,690878.9872528961,019,035
67,2,0.002087939274175943,690958.1845808295,690989.2022320944,147,069
68,2,0.008982408253829455,689374.1413609148,689405.1590121797,054,149
69,2,0.005273738793773797,690227.593741715,690258.6113929799,088,026
70,2,0.023668143919273965,685962.9494427303,685993.9670939952,195,054
71,2,0.001420541585066215,691110.9415852234,691141.9592364883,169,013
72,2,0.004375905490888399,690433.7279631279,690464.7456143928,041,040
73,2,0.00044555721526495784,691333.9170037487,691364.9346550136,094,159
74,2,0.018431183484325264,687185.2374794962,687216.2551307611,044,021
75,2,0.009186315175354953,689327.1249818051,689358.14263307,129,072
76,2,0.0019549851365984194,690988.6238729691,691019.641524234,192,058
77,2,0.008803101907928323,689415.4774041657,689446.4950554306,056,070
78,2,0.015186978144015484,687939.1566083778,687970.1742596427,164,004
79,2,0.010722011982685298,688972.7164573978,689003.7341086627,166,005
80,2,0.003544864406387793,690624.3617173037,690655.3793685687,061,037
81,2,0.022401177041811215,686259.2551783833,686290.2728296482,164,141
82,2,0.02411938492599386,685857.3247709305,685888.3424221954,138,115
83,2,0.0033130279822524145,690677.5146578116,690708.5323090765,060,125
84,2,0.0004526761536477464,691332.2897165087,691363.3073677736,043,068
85,2,0.0018778416194410452,691006.2836987348,691037.3013499997,137,106
86,2,0.007306848546678957,689760.1220296451,689791.13968091,189,000
87,2,0.005486763855975352,690178.6578488393,690209.6755001042,175,008
88,2,0.021727701696650947,686416.6046802979,686447.6223315628,120,163
89,2,9.95064975944926e-05,691413.0052647346,691444.0229159995,015,182
90,2,0.025571149010536476,685517.1700617773,685548.1877130423,101,017
91,2,0.0018127064159942918,691021.1934980947,691052.2111493596,188,127
92,2,0.0027213449903780162,690813.1132931821,690844.130944447,072,192
93,2,0.0038388910037127078,690556.9326980868,690587.9503493517,171,056
94,2,0.0026009665149756556,690840.6911172961,690871.708768561,006,110
95,2,0.0055994603621862815,690152.7650864987,690183.7827377636,026,075
96,2,0.009003308512786745,689369.3226732719,689400.3403245368,055,085
97,2,0.003527701894252111,690628.2969757523,690659.3146270172,059,087
98,2,0.0014194790307859861,691111.1847060471,691142.202357312,058,002
99,2,0.03907694384161797,682328.1948650572,682359.2125163221,058,157
100,2,0.02087532327166164,686615.5975207606,686646.6151720255,198,162
101,2,0.013239868424569812,688390.452685209,688421.4703364739,036,009
102,2,0.02366034701439934,685964.7740816502,685995.7917329151,146,131
103,2,0.006537083906806851,689937.2260809246,689968.2437321895,124,039
