"","PC1","PC2"
"1",-1.27156094177057,-0.589817116539994
"2",-1.75328843473367,0.120781973077263
"3",-3.02489419365143,0.932957025281084
"4",-0.809797015585817,-0.29518920425545
"5",1.32472226795121,0.0651883299833059
"6",-1.61156337733178,-0.482385638668114
"7",1.56515740030994,0.00309716485643818
"8",-0.985548055647224,0.067514148495423
"9",-0.703028894155891,-0.197319195792546
"10",0.709475123617424,0.933429352668499
"11",1.11535603549902,0.399467362118811
"12",-0.570124017372895,-0.503566769495605
"13",-0.212774631343818,-0.957449481996472
"14",0.544305972153788,0.283033349671638
"15",-0.529303429392534,-0.597514309276895
"16",0.946172190143673,1.22651722825492
"17",0.382864308531788,0.0856398887234702
"18",-1.07202614886932,0.317974360303039
"19",-1.23567176277193,0.0251020265862689
"20",1.3828823417048,0.0450929468250871
"21",0.482956340707138,0.788938970453051
"22",-0.719290902828741,0.017921325807104
"23",1.21051363082665,0.892974630449074
"24",-0.128747196932959,-0.828221601120346
"25",-0.506932782771234,-1.13663617362542
"26",0.898601124774543,0.610130565875
"27",-0.943596162301749,-0.887572251105204
"28",0.0737815728263649,1.91598181915773
"29",1.79392570436329,-2.05483210646834
"30",0.0122890605952182,0.631277734684312
"31",1.99697067411674,-0.912850856634434
"32",1.37665918172844,-0.0244851298479146
"33",0.261515017611555,0.104819631555211
